# Tag,Time,Date,Action
2015050202,1436385871,04:31.3,exit
2015050202,1436385884,04:44.5,entry
2015050202,1436385885,04:45.5,exit
1302000139,1436385891,04:50.7,entry
1302000139,1436385892,04:52.4,exit
1412000238,1436385905,05:04.7,entry
1412000238,1436385906,05:05.9,exit
1412000238,1436385923,05:22.6,entry
1412000238,1436385925,05:25.0,exit
2015050202,1436385928,05:28.2,entry
2015050202,1436385944,05:43.7,exit
1412000238,1436386317,11:56.8,entry
1412000238,1436386321,12:01.3,exit
1412000238,1436386491,14:50.6,entry
1412000238,1436386494,14:54.4,exit
1412000238,1436387500,31:39.6,entry
1412000238,1436387501,31:40.9,exit
1412000238,1436387765,36:05.4,entry
1412000238,1436387771,36:11.2,exit
0,1436388259,44:19.4,SeshEnd
0,1436285295,08:15.5,SeshStart
1312000377,1436285490,11:30.3,entry
1312000377,1436285492,11:31.8,exit
1312000377,1436285638,13:57.9,entry
1312000377,1436285641,14:01.2,exit
1312000300,1436285708,15:08.0,entry
1312000300,1436285712,15:11.8,exit
1312000159,1436285737,15:37.2,entry
1312000159,1436285739,15:38.7,exit
1312000159,1436285740,15:40.1,entry
1312000159,1436285742,15:41.6,exit
1312000159,1436285760,16:00.2,entry
1312000159,1436285761,16:01.2,exit
1312000377,1436285771,16:11.1,entry
1312000377,1436285772,16:12.1,exit
2015050115,1436285785,16:25.0,entry
2015050115,1436285788,16:28.4,exit
2015050115,1436285806,16:45.7,entry
2015050115,1436285807,16:47.4,exit
1312000159,1436285815,16:55.2,entry
1312000159,1436285816,16:56.2,exit
1312000159,1436285891,18:11.3,entry
1312000159,1436285893,18:13.3,exit
1312000159,1436285953,19:13.0,entry
1312000159,1436285954,19:14.0,exit
1312000159,1436285954,19:14.5,entry
1312000159,1436285956,19:16.0,exit
1312000377,1436285956,19:16.4,entry
1312000377,1436285959,19:19.2,exit
1312000377,1436285970,19:29.5,entry
1312000377,1436285973,19:33.3,exit
1312000377,1436286098,21:37.9,entry
1312000377,1436286100,21:40.2,exit
1312000300,1436286106,21:46.2,entry
1312000300,1436286107,21:47.4,exit
1312000159,1436286145,22:25.5,entry
1312000159,1436286148,22:27.9,exit
1312000159,1436286150,22:29.6,entry
1312000159,1436286151,22:31.4,exit
