Tag,Time,Date,Action,Source
1412000238,1435557572.954908,2015-06-28 22:59:32.954908,entry,T:/AutoHeadFix/Unorganized pi181\0629 cage 2\headFixEP_0628_.txt
1412000238,1435557575.991361,2015-06-28 22:59:35.991361,exit,T:/AutoHeadFix/Unorganized pi181\0629 cage 2\headFixEP_0628_.txt
2015050115,1435557581.380265,2015-06-28 22:59:41.380265,entry,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
2015050115,1435557587.088483,2015-06-28 22:59:47.088483,exit,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
2015050115,1435557616.96699,2015-06-28 23:00:16.966990,entry,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
2015050115,1435557618.199469,2015-06-28 23:00:18.199469,exit,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
1312000300,1435557619.269632,2015-06-28 23:00:19.269632,entry,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
1312000300,1435557621,2015-06-28 23:00:21,check+,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
1312000300,1435557621.684519,2015-06-28 23:00:21.684519,reward0,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
1312000300,1435557626.996507,2015-06-28 23:00:26.996507,reward1,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
1312000300,1435557632.39753,2015-06-28 23:00:32.397530,reward2,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
1312000300,1435557637.797536,2015-06-28 23:00:37.797536,reward3,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
1312000300,1435557643.180148,2015-06-28 23:00:43.180148,reward4,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
1312000300,1435557648.562496,2015-06-28 23:00:48.562496,reward5,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
1312000300,1435557648.668877,2015-06-28 23:00:48.668877,complete,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
1312000300,1435557653.646004,2015-06-28 23:00:53.646004,exit,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
2015050115,1435557653.846855,2015-06-28 23:00:53.846855,entry,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
2015050115,1435557659.522502,2015-06-28 23:00:59.522502,exit,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
1312000300,1435557662.521896,2015-06-28 23:01:02.521896,entry,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
1312000300,1435557664,2015-06-28 23:01:04,check+,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
1312000300,1435557664.442116,2015-06-28 23:01:04.442116,reward0,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
1312000300,1435557669.754016,2015-06-28 23:01:09.754016,reward1,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
1312000300,1435557675.10469,2015-06-28 23:01:15.104690,reward2,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
1312000300,1435557680.513104,2015-06-28 23:01:20.513104,reward3,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
1302000139,1435557685.486328,2015-06-28 23:01:25.486328,entry,T:/AutoHeadFix/Unorganized pi181\0629 cage 2\headFixEP_0628_.txt
1312000300,1435557685.87779,2015-06-28 23:01:25.877790,reward4,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
1312000300,1435557691.266394,2015-06-28 23:01:31.266394,reward5,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
1312000300,1435557691.369798,2015-06-28 23:01:31.369798,complete,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
1312000300,1435557695,2015-06-28 23:01:35,check+,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
1312000300,1435557695.713032,2015-06-28 23:01:35.713032,reward0,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
1312000300,1435557701.062248,2015-06-28 23:01:41.062248,reward1,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
1302000139,1435557702.746795,2015-06-28 23:01:42.746795,exit,T:/AutoHeadFix/Unorganized pi181\0629 cage 2\headFixEP_0628_.txt
1312000300,1435557706.44761,2015-06-28 23:01:46.447610,reward2,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
2015050202,1435557710.322853,2015-06-28 23:01:50.322853,entry,T:/AutoHeadFix/Unorganized pi181\0629 cage 2\headFixEP_0628_.txt
1312000300,1435557711.835067,2015-06-28 23:01:51.835067,reward3,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
2015050202,1435557715.642879,2015-06-28 23:01:55.642879,exit,T:/AutoHeadFix/Unorganized pi181\0629 cage 2\headFixEP_0628_.txt
1312000300,1435557717.227953,2015-06-28 23:01:57.227953,reward4,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
1312000300,1435557722.627303,2015-06-28 23:02:02.627303,reward5,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
1312000300,1435557722.728313,2015-06-28 23:02:02.728313,complete,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
1312000300,1435557727.502146,2015-06-28 23:02:07.502146,exit,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
1312000300,1435557735.061875,2015-06-28 23:02:15.061875,entry,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
1312000300,1435557736.784398,2015-06-28 23:02:16.784398,exit,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
2015050115,1435557738.355414,2015-06-28 23:02:18.355414,entry,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
2015050115,1435557741,2015-06-28 23:02:21,check+,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
2015050115,1435557741.268504,2015-06-28 23:02:21.268504,reward0,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
2015050115,1435557746.58041,2015-06-28 23:02:26.580410,reward1,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
2015050115,1435557751.957958,2015-06-28 23:02:31.957958,reward2,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
2015050115,1435557757.340678,2015-06-28 23:02:37.340678,reward3,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
2015050115,1435557762.729421,2015-06-28 23:02:42.729421,reward4,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
2015050115,1435557768.1374,2015-06-28 23:02:48.137400,reward5,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
2015050115,1435557768.231894,2015-06-28 23:02:48.231894,complete,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
2015050115,1435557772.270228,2015-06-28 23:02:52.270228,exit,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
